message,timestamp,severity,tags,attributes
unpacking archive,2026-08-20T20:57:04.514173422Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":123832320,""duration_ms"":303}"
[internal] load build definition from Dockerfile,2026-08-20T20:57:04.650519822Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:9796ba2dd949ca05416caca6e733bfa44ece6336fbda864c4eaf10b68ca814e1""}"
[internal] load build definition from Dockerfile,2026-08-20T20:57:04.650600263Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:9796ba2dd949ca05416caca6e733bfa44ece6336fbda864c4eaf10b68ca814e1"",""started"":""2026-08-20T20:57:04.650388815Z"",""completed"":""2026-08-20T20:57:04.65045148Z""}"
[internal] load build definition from Dockerfile,2026-08-20T20:57:04.651318301Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:9796ba2dd949ca05416caca6e733bfa44ece6336fbda864c4eaf10b68ca814e1"",""started"":""2026-08-20T20:57:04.651124179Z""}"
[internal] load build definition from Dockerfile,2026-08-20T20:57:04.703331840Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:9796ba2dd949ca05416caca6e733bfa44ece6336fbda864c4eaf10b68ca814e1"",""started"":""2026-08-20T20:57:04.651124179Z"",""completed"":""2026-08-20T20:57:04.703036427Z""}"
[internal] load metadata for docker.io/library/node:20-bookworm-slim,2026-08-20T20:57:04.715800110Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:bf58f9bc7d3bbb1e3cd5d9177b0786c61c5858889785b228dd6cb788a4592215"",""started"":""2026-08-20T20:57:04.715531797Z""}"
[internal] load metadata for docker.io/library/node:20-bookworm-slim,2026-08-20T20:57:04.858376764Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:bf58f9bc7d3bbb1e3cd5d9177b0786c61c5858889785b228dd6cb788a4592215"",""started"":""2026-08-20T20:57:04.715531797Z"",""completed"":""2026-08-20T20:57:04.858039568Z""}"
[internal] load .dockerignore,2026-08-20T20:57:04.859092629Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:16c7c2593c412b204a34d7092ac98daa67354932cf4032198feab3f0889833c0""}"
[internal] load .dockerignore,2026-08-20T20:57:04.859177055Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:16c7c2593c412b204a34d7092ac98daa67354932cf4032198feab3f0889833c0"",""started"":""2026-08-20T20:57:04.858917015Z"",""completed"":""2026-08-20T20:57:04.858952729Z""}"
[internal] load .dockerignore,2026-08-20T20:57:04.859643746Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:16c7c2593c412b204a34d7092ac98daa67354932cf4032198feab3f0889833c0"",""started"":""2026-08-20T20:57:04.859354101Z""}"
[internal] load .dockerignore,2026-08-20T20:57:04.915311231Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:16c7c2593c412b204a34d7092ac98daa67354932cf4032198feab3f0889833c0"",""started"":""2026-08-20T20:57:04.859354101Z"",""completed"":""2026-08-20T20:57:04.915035577Z""}"
[application-build 6/7] RUN test -x node_modules/.bin/tsx && npm run build,2026-08-20T20:57:04.935473141Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:ac5c306f6f6a34bde214521708cd56d435b97be6f0c8f72952943fd33aa2ed87"",""inputs"":[""sha256:fde6744353e60ee622950f97bf9e8f6d1719c5b1f1b46390c353448c1fe25413""]}"
[application-build 5/7] COPY . .,2026-08-20T20:57:04.935475124Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:fde6744353e60ee622950f97bf9e8f6d1719c5b1f1b46390c353448c1fe25413"",""inputs"":[""sha256:b8809c275a1e468fd91eacb44c8fb09f7936dcb77f20560d4db864ac5c3e839b"",""sha256:4ff3014af8cc0361ec66b16b018307afa4e6257d268bb5be3e076b05fbdd5257""]}"
[runtime 4/7] COPY --from=application-build /app/node_modules ./node_modules,2026-08-20T20:57:04.935475835Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:369b9308d6c09e423d7aa1f455b2cdaa8c038ff47606a42e0791dc0d3344b014"",""inputs"":[""sha256:f369017669864b971082f833d349abfb8171c94db0abe08be3861196243f3496"",""sha256:9410ab8697abb9e413e6e34f51e10e864a0fd5885fe05e9a9a11a4152ee74a80""]}"
[application-build 3/7] COPY package.json package-lock.json ./,2026-08-20T20:57:04.935476306Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:f369017669864b971082f833d349abfb8171c94db0abe08be3861196243f3496"",""inputs"":[""sha256:df74c3ee1ffc324fd209ac5c2e65b5ddf80af2ef6f3e460f6b9c149d133823eb"",""sha256:4ff3014af8cc0361ec66b16b018307afa4e6257d268bb5be3e076b05fbdd5257""]}"
[internal] load build context,2026-08-20T20:57:04.935476656Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:4ff3014af8cc0361ec66b16b018307afa4e6257d268bb5be3e076b05fbdd5257""}"
[runtime 5/7] COPY --from=application-build /app/dist ./dist,2026-08-20T20:57:04.935477087Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:f294f800523d1e038029c18d45fa8b166c7bc14e60f4b0c29e7370ea190813d2"",""inputs"":[""sha256:369b9308d6c09e423d7aa1f455b2cdaa8c038ff47606a42e0791dc0d3344b014"",""sha256:9410ab8697abb9e413e6e34f51e10e864a0fd5885fe05e9a9a11a4152ee74a80""]}"
[runtime 6/7] COPY --from=application-build /app/uploads/avatars ./uploads/avatars,2026-08-20T20:57:04.935477958Z,info,"{""serviceId"":""321437b3-d38c-426a-bb2e-762c587f1947"",""deploymentId"":""8f015a8f-c580-4a39-b708-e2e1f6486138"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:8ca5140ff31beff31ee47e958f135ce8d345bf4ab2d3038063cb8f43d953be17"",""inputs"":[""sha256:f294f800523d1e038029c18d45fa8b166c7bc14e60f4b0c29e7370ea190813d2"",""sha256:9410ab8697abb9e413e6e34f51e10e864a0fd5885fe05e9a9a11a4152ee74a80""]}"
